2019-07-25 18:45:19.689545|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, [::]:9987
2019-07-25 18:45:19.690545|WARNING |VirtualServer |1  |--------------------------------------------------------
2019-07-25 18:45:19.691543|WARNING |VirtualServer |1  |ServerAdmin privilege key created, please use the line below
2019-07-25 18:45:19.691543|WARNING |VirtualServer |1  |token=HUrhUm+yzr18mL1y4FjpmzGjRYkeFBcVlbCgheNu
2019-07-25 18:45:19.691543|WARNING |VirtualServer |1  |--------------------------------------------------------
2019-07-25 18:46:29.832035|INFO    |VirtualServer |1  |client (id:2) was added to servergroup 'Server Admin'(id:6) by client 'server'(id:0)
2019-07-25 18:46:29.834034|INFO    |VirtualServer |1  |client '00*BadBoy*00'(id:2) used privilege key 'HUrhUm+yzr18mL1y4FjpmzGjRYkeFBcVlbCgheNu' and was added to servergroup 'Server Admin'(id:6)
2019-07-25 18:49:58.324151|INFO    |VirtualServer |1  |permission 'i_channel_needed_modify_power'(id:123) with values (value:2) was added by '00*BadBoy*00'(id:2) to channel 'Fun'o'Jojo'(id:3)
2019-07-25 18:49:58.324151|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_download_power'(id:236) with values (value:1) was added by '00*BadBoy*00'(id:2) to channel 'Fun'o'Jojo'(id:3)
2019-07-25 18:49:58.324151|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_rename_power'(id:240) with values (value:2) was added by '00*BadBoy*00'(id:2) to channel 'Fun'o'Jojo'(id:3)
2019-07-25 18:49:58.325150|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_upload_power'(id:234) with values (value:1) was added by '00*BadBoy*00'(id:2) to channel 'Fun'o'Jojo'(id:3)
2019-07-25 18:49:58.325150|INFO    |VirtualServer |1  |permission 'i_channel_needed_description_view_power'(id:142) with values (value:2) was added by '00*BadBoy*00'(id:2) to channel 'Fun'o'Jojo'(id:3)
2019-07-25 18:49:58.325150|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:138) with values (value:1) was added by '00*BadBoy*00'(id:2) to channel 'Fun'o'Jojo'(id:3)
2019-07-25 18:49:58.326149|INFO    |VirtualServer |1  |permission 'i_ft_needed_directory_create_power'(id:244) with values (value:2) was added by '00*BadBoy*00'(id:2) to channel 'Fun'o'Jojo'(id:3)
2019-07-25 18:49:58.326149|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:140) with values (value:1) was added by '00*BadBoy*00'(id:2) to channel 'Fun'o'Jojo'(id:3)
2019-07-25 18:49:58.327148|INFO    |VirtualServer |1  |permission 'i_channel_needed_delete_power'(id:131) with values (value:2) was added by '00*BadBoy*00'(id:2) to channel 'Fun'o'Jojo'(id:3)
2019-07-25 18:49:58.327148|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_browse_power'(id:242) with values (value:1) was added by '00*BadBoy*00'(id:2) to channel 'Fun'o'Jojo'(id:3)
